title,company,location,role,category,source,source_type,url,published_at,summary,keywords,required_skills,seniority,remote_option,suggested_action
"AI Governance Analyst","Merlion Trust Bank","Singapore","AI Governance Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/ai-governance-analyst","2026-07-01","Assess AI use cases, document model controls, and prepare governance reporting for wealth and risk teams.","AI governance, risk, compliance, model controls, reporting","Python, policy analysis, risk management, stakeholder communication","mid","hybrid","Tailor one resume bullet for AI Governance Analyst and apply through the source link."
"Risk Data Analyst","HarbourPay Analytics","Singapore","Risk Data Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/risk-data-analyst","2026-07-02","Analyze transaction risk patterns and build dashboards for a Singapore payments FinTech.","FinTech, risk analytics, payments, dashboarding, anomaly detection","SQL, Python, pandas, data visualization, risk metrics","junior","hybrid","Prepare a payments risk dashboard story and apply through the source link."
"Digital Transformation Consultant","StraitsBridge Consulting","Singapore","Digital Transformation Consultant","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/digital-transformation-consultant","2026-06-28","Support banks and insurers with AI workflow automation and operating model redesign.","digital transformation, AI, consulting, automation, process design","business analysis, Python, workflow mapping, stakeholder management","mid","onsite","Map one AI workflow case study and apply through the source link."
"RegTech Product Analyst","LionCity RegTech Labs","Singapore","RegTech Product Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/regtech-product-analyst","2026-06-25","Translate compliance workflow pain points into product requirements for RegTech monitoring tools.","RegTech, compliance, product analytics, workflow automation","product analysis, SQL, compliance operations, user research","mid","hybrid","Draft a compliance workflow product memo and apply through the source link."
"AI Application Engineer","Nimbus AI Systems","Singapore","AI Application Engineer","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/ai-application-engineer","2026-07-03","Build internal AI agents and retrieval workflows for enterprise operations teams.","AI applications, agents, RAG, automation, Python","Python, APIs, prompt engineering, evaluation, data pipelines","mid","hybrid","Prepare an agent evaluation notebook and apply through the source link."
"Wealth Management Data Analyst","Orchid Private Wealth","Singapore","Data Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/wealth-management-data-analyst","2026-06-21","Create portfolio analytics dashboards and client insight reports for a digital wealth team.","wealth management, data analytics, reporting, FinTech","SQL, Python, BI, financial data analysis","junior","onsite","Build one wealth reporting dashboard example and apply through the source link."
"Compliance Analytics Associate","BlueQuay Payments","Singapore","Compliance Analytics Associate","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/compliance-analytics-associate","2026-07-04","Prepare compliance monitoring metrics and case review dashboards for payment risk operations.","compliance, analytics, payments risk, monitoring","SQL, Excel, Python, dashboarding, compliance operations","junior","hybrid","Create a compliance monitoring metric sample and apply through the source link."
"Model Risk Analyst","Equator Digital Bank","Singapore","Model Risk Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/model-risk-analyst","2026-06-18","Validate credit and fraud models, review documentation, and track remediation actions.","model risk, validation, governance, credit risk","Python, statistics, model validation, risk documentation","mid","onsite","Prepare a model validation checklist and apply through the source link."
"Business Analyst, AI Transformation","Atlas Mutual Insurance","Singapore","Business Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/business-analyst-ai-transformation","2026-07-01","Map claims operations and define AI assistant requirements for insurance transformation teams.","business analysis, AI transformation, insurance, automation","requirements gathering, process mapping, analytics, communication","mid","hybrid","Turn a claims workflow into an AI requirements memo and apply through the source link."
"Data Analyst, Payments Risk","KopiPay Network","Singapore","Data Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/data-analyst-payments-risk","2026-07-05","Investigate merchant risk patterns and maintain risk analytics dashboards for payments teams.","payments risk, data analytics, FinTech, fraud detection","SQL, Python, dashboarding, risk analysis","junior","hybrid","Prepare a merchant risk analytics dashboard and apply through the source link."
"Product Analyst, Tokenisation","Raffles Digital Assets","Singapore","Product Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/product-analyst-tokenisation","2026-06-20","Analyze user workflows and market signals for tokenised asset product experiments.","tokenisation, product analytics, digital assets, market research","SQL, product metrics, research synthesis, financial markets","mid","hybrid","Draft a tokenisation metric tree and apply through the source link."
"Research Analyst, AI Policy","CivicTech Policy Institute","Singapore","Research Analyst","job","Synthetic Careers Board","job_board","https://example.org/opportunity-radar/jobs/research-analyst-ai-policy","2026-06-30","Track AI governance, digital finance, and workforce policy developments across Singapore.","AI policy, governance, research, digital finance","policy research, writing, data analysis, stakeholder interviews","junior","remote","Write one AI policy brief sample and apply through the source link."
